ExtendedLineage	loci	totalcopies	meancopies
Amphibians	664,1056,2212	1077,2072.5,4380	1.44,1.89,2.34
Birds	32600,51907,61362	35438,57802,70246	1.07,1.11,1.19
Cartilaginous fishes	2465,3414.5,4149	5013,8280,12557	1.91,2.36,3.17
Crocodilians	9648,9652.5,9657	10406,10419,10432	1.08,1.08,1.08
Cyclostomes	2824,3180,3247	6423,8418,8986	2.27,2.59,2.83
Lepidosauria	704,879,1034	867,1221.5,1453	1.21,1.33,1.78
Lobe-finned fishes	1966,2573,3180	3870,5372.5,6875	1.97,2.07,2.16
Mammals	1254,11732,14848	1789,12893,16639	1.06,1.09,1.53
Other Deuterostomes	31,74,276	69,210,451	1.38,2.38,5.74
Ray-finned fishes	3219,15744,29636	7057,26996,48344	1.16,1.65,3.4
Turtles	2053,2629,2818	2338,3131,3464	1.14,1.19,1.29
