# accession	Gropup
GCA_027410445.1	Anura
GCA_027917425.1	Anura
GCA_031893055.1	Anura
GCA_036172795.1	Anura
GCA_037306005.1	Anura
GCA_038048845.1	Anura
GCA_038501925.1	Anura
GCA_040206685.1	Anura
GCA_048565345.1	Anura
GCA_048569485.1	Anura
GCA_964205295.1	Anura
GCA_965119305.1	Anura
GCF_027358695.1	Anura
GCF_027579735.1	Anura
GCF_027789765.1	Anura
GCF_028390025.1	Anura
GCF_029499605.1	Anura
GCF_032444005.1	Anura
GCF_035609145.1	Anura
GCF_036172605.1	Anura
GCF_040894005.1	Anura
GCF_040937935.1	Anura
GCF_905171765.1	Anura
GCF_905171775.1	Anura
GCA_026652325.1	Caudata
GCA_964204655.1	Caudata
GCA_964261635.1	Caudata
GCA_964263255.1	Caudata
GCF_040938575.1	Caudata
GCA_901765095.2	Gymnophiona
GCF_901001135.1	Gymnophiona
GCF_902459505.1	Gymnophiona
GCA_008658365.1	Neoaves
GCA_009764595.1	Neoaves
GCA_009769465.1	Neoaves
GCA_009769525.1	Neoaves
GCA_009769605.1	Neoaves
GCA_009819595.1	Neoaves
GCA_009819605.1	Neoaves
GCA_009819775.1	Neoaves
GCA_009819825.1	Neoaves
GCA_011004875.1	Neoaves
GCA_014706295.1	Neoaves
GCA_014839755.1	Neoaves
GCA_016904835.1	Neoaves
GCA_017639485.1	Neoaves
GCA_017639555.1	Neoaves
GCA_020745705.1	Neoaves
GCA_020745775.1	Neoaves
GCA_020746105.1	Neoaves
GCA_020800305.1	Neoaves
GCA_023637945.2	Neoaves
GCA_027474245.1	Neoaves
GCA_027559615.1	Neoaves
GCA_027574665.1	Neoaves
GCA_028020825.1	Neoaves
GCA_028022735.1	Neoaves
GCA_028858755.1	Neoaves
GCA_030463565.1	Neoaves
GCA_030867145.1	Neoaves
GCA_031468815.1	Neoaves
GCA_031877795.1	Neoaves
GCA_031885435.1	Neoaves
GCA_034619465.1	Neoaves
GCA_036010785.1	Neoaves
GCA_036417535.1	Neoaves
GCA_036971685.2	Neoaves
GCA_037962945.1	Neoaves
GCA_039720435.1	Neoaves
GCA_039906565.1	Neoaves
GCA_045345405.1	Neoaves
GCA_045345515.1	Neoaves
GCA_045364795.1	Neoaves
GCA_046129655.1	Neoaves
GCA_046129695.1	Neoaves
GCA_047830755.1	Neoaves
GCA_048771995.1	Neoaves
GCA_901699155.2	Neoaves
GCA_903797595.2	Neoaves
GCA_907165065.1	Neoaves
GCA_949628215.1	Neoaves
GCA_963082525.1	Neoaves
GCA_963210335.1	Neoaves
GCA_963264785.1	Neoaves
GCA_963513975.1	Neoaves
GCA_963932225.1	Neoaves
GCA_964106855.1	Neoaves
GCA_964106895.1	Neoaves
GCA_964188355.1	Neoaves
GCA_964195595.2	Neoaves
GCA_964199755.1	Neoaves
GCA_964237585.1	Neoaves
GCA_964273445.1	Neoaves
GCA_964289735.1	Neoaves
GCA_964417175.1	Neoaves
GCA_965140245.1	Neoaves
GCA_965178545.1	Neoaves
GCA_965183815.1	Neoaves
GCA_965231255.1	Neoaves
GCA_965231275.1	Neoaves
GCF_003957555.1	Neoaves
GCF_004027225.2	Neoaves
GCF_009650955.1	Neoaves
GCF_009819655.1	Neoaves
GCF_009819885.2	Neoaves
GCF_009829145.1	Neoaves
GCF_012275295.1	Neoaves
GCF_013368605.1	Neoaves
GCF_014839835.1	Neoaves
GCF_015220075.1	Neoaves
GCF_015220805.1	Neoaves
GCF_015227805.1	Neoaves
GCF_017639655.2	Neoaves
GCF_017976375.1	Neoaves
GCF_020740725.1	Neoaves
GCF_020740795.1	Neoaves
GCF_020745825.1	Neoaves
GCF_023634085.1	Neoaves
GCF_023634155.1	Neoaves
GCF_023638135.1	Neoaves
GCF_026419915.1	Neoaves
GCF_026979565.1	Neoaves
GCF_027477595.1	Neoaves
GCF_027579445.1	Neoaves
GCF_027887145.1	Neoaves
GCF_028018845.1	Neoaves
GCF_028500815.1	Neoaves
GCF_028858705.1	Neoaves
GCF_028858725.1	Neoaves
GCF_029582105.1	Neoaves
GCF_030490865.1	Neoaves
GCF_030936135.1	Neoaves
GCF_035770615.1	Neoaves
GCF_036013445.1	Neoaves
GCF_036013475.1	Neoaves
GCF_036169615.1	Neoaves
GCF_036250125.1	Neoaves
